tick,day,alive,sick,cumulative_deaths,cumulative_births
227,227.0,100,1,0,0
228,228.0,100,1,0,0
229,229.0,100,1,0,0
230,230.0,100,1,0,0
231,231.0,100,1,0,0
232,232.0,100,1,0,0
233,233.0,100,1,0,0
234,234.0,100,3,0,0
235,235.0,100,3,0,0
236,236.0,100,2,0,0
237,237.0,100,2,0,0
238,238.0,100,2,0,0
239,239.0,100,2,0,0
240,240.0,100,2,0,0
241,241.0,100,1,0,0
242,242.0,100,3,0,0
243,243.0,100,6,0,0
244,244.0,100,7,0,0
245,245.0,100,7,0,0
246,246.0,100,7,0,0
247,247.0,100,7,0,0
248,248.0,100,7,0,0
249,249.0,100,8,0,0
250,250.0,100,9,0,0
251,251.0,100,9,0,0
252,252.0,100,11,0,0
253,253.0,100,13,0,0
254,254.0,100,13,0,0
255,255.0,100,16,0,0
256,256.0,100,15,0,0
257,257.0,100,15,0,0
258,258.0,100,14,0,0
259,259.0,100,12,0,0
260,260.0,100,13,0,0
261,261.0,100,14,0,0
262,262.0,100,12,0,0
263,263.0,100,12,0,0
264,264.0,100,10,0,0
265,265.0,100,8,0,0
266,266.0,100,9,0,0
267,267.0,100,8,0,0
268,268.0,100,9,0,0
269,269.0,100,6,0,0
270,270.0,100,6,0,0
271,271.0,100,8,0,0
272,272.0,100,7,0,0
273,273.0,100,10,0,0
274,274.0,100,10,0,0
275,275.0,100,13,0,0
276,276.0,100,14,0,0
277,277.0,100,12,0,0
278,278.0,99,11,1,0
279,279.0,99,13,1,0
280,280.0,99,12,1,0
281,281.0,99,12,1,0
282,282.0,99,14,1,0
283,283.0,99,16,1,0
284,284.0,99,17,1,0
285,285.0,98,17,2,0
286,286.0,98,18,2,0
287,287.0,98,18,2,0
288,288.0,98,18,2,0
289,289.0,98,15,2,0
290,290.0,98,12,2,0
291,291.0,98,12,2,0
292,292.0,98,14,2,0
293,293.0,98,16,2,0
294,294.0,98,18,2,0
295,295.0,98,17,2,0
296,296.0,100,15,2,2
297,297.0,99,16,3,2
298,298.0,99,15,3,2
299,299.0,99,16,3,2
300,300.0,98,14,4,2
301,301.0,98,15,4,2
302,302.0,98,15,4,2
